receptor,family,region,region_name,fmol_per_mg_protein,areas,fit
"M1 muscarinic","Acetylcholine","Frontal_Sup","Superior Frontal Gyrus","607.5","8 9","approx"
"M1 muscarinic","Acetylcholine","Frontal_Mid","Middle Frontal Gyrus","613.8","8 9 10L 46","approx"
"M1 muscarinic","Acetylcholine","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","631","44","exact"
"M1 muscarinic","Acetylcholine","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","676","45","exact"
"M1 muscarinic","Acetylcholine","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","725","47","approx"
"M1 muscarinic","Acetylcholine","Supp_Motor_Area","Supplementary Motor Area","400","6","approx"
"M1 muscarinic","Acetylcholine","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","531","10M","approx"
"M1 muscarinic","Acetylcholine","Frontal_Med_Orb","Medial Orbitofrontal Cortex","581","11","approx"
"M1 muscarinic","Acetylcholine","Rectus","Gyrus Rectus","581","11","approx"
"M1 muscarinic","Acetylcholine","Cingulum_Ant","Anterior Cingulate","718.5","24 32","approx"
"M1 muscarinic","Acetylcholine","Cingulum_Mid","Middle Cingulate","687","24 23","approx"
"M1 muscarinic","Acetylcholine","Cingulum_Post","Posterior Cingulate","665.5","23 31","approx"
"M1 muscarinic","Acetylcholine","ParaHippocampal","Parahippocampal Gyrus","718","36","approx"
"M1 muscarinic","Acetylcholine","Heschl","Heschl's Gyrus","724","41 42","approx"
"M1 muscarinic","Acetylcholine","Temporal_Sup","Superior Temporal Gyrus","777.5","42 22","approx"
"M1 muscarinic","Acetylcholine","Temporal_Pole_Sup","Temporal Pole, Superior","814","38","exact"
"M1 muscarinic","Acetylcholine","Temporal_Mid","Middle Temporal Gyrus","826","21","exact"
"M1 muscarinic","Acetylcholine","Temporal_Pole_Mid","Temporal Pole, Middle","814","38","exact"
"M1 muscarinic","Acetylcholine","Temporal_Inf","Inferior Temporal Gyrus","796.3","37B 37L 20","approx"
"M1 muscarinic","Acetylcholine","Postcentral","Postcentral Gyrus","611.3","1 2 3a 3b","exact"
"M1 muscarinic","Acetylcholine","Parietal_Sup","Superior Parietal Lobule","514","5L","approx"
"M1 muscarinic","Acetylcholine","Parietal_Inf","Inferior Parietal Lobule","733","PFm","approx"
"M1 muscarinic","Acetylcholine","SupraMarginal","Supramarginal Gyrus","749","PFt PFm","approx"
"M1 muscarinic","Acetylcholine","Angular","Angular Gyrus","635","PGa PGp","exact"
"M1 muscarinic","Acetylcholine","Precuneus","Precuneus","626.5","31 5M","approx"
"M1 muscarinic","Acetylcholine","Paracentral_Lobule","Paracentral Lobule","541","5M","approx"
"M1 muscarinic","Acetylcholine","Calcarine","Calcarine Cortex","594","V1","exact"
"M1 muscarinic","Acetylcholine","Cuneus","Cuneus","415","V2d V3A V3d","approx"
"M1 muscarinic","Acetylcholine","Lingual","Lingual Gyrus","591.3","V2v V3v V4v","approx"
"M1 muscarinic","Acetylcholine","Occipital_Sup","Superior Occipital Gyrus","379","V3A V3d","approx"
"M1 muscarinic","Acetylcholine","Occipital_Mid","Middle Occipital Gyrus","952","37L","approx"
"M1 muscarinic","Acetylcholine","Occipital_Inf","Inferior Occipital Gyrus","584","V3v V4v","approx"
"M1 muscarinic","Acetylcholine","Fusiform","Fusiform Gyrus","643.5","FG1 FG2 37B 37M","approx"
"M2 muscarinic","Acetylcholine","Precentral","Precentral Gyrus","143","4 6","approx"
"M2 muscarinic","Acetylcholine","Frontal_Sup","Superior Frontal Gyrus","201.5","8 9","approx"
"M2 muscarinic","Acetylcholine","Frontal_Mid","Middle Frontal Gyrus","208.5","8 9 10L 46","approx"
"M2 muscarinic","Acetylcholine","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","247","44","exact"
"M2 muscarinic","Acetylcholine","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","215","45","exact"
"M2 muscarinic","Acetylcholine","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","198","47","approx"
"M2 muscarinic","Acetylcholine","Supp_Motor_Area","Supplementary Motor Area","145","6","approx"
"M2 muscarinic","Acetylcholine","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","195","10M","approx"
"M2 muscarinic","Acetylcholine","Frontal_Med_Orb","Medial Orbitofrontal Cortex","173","11","approx"
"M2 muscarinic","Acetylcholine","Rectus","Gyrus Rectus","173","11","approx"
"M2 muscarinic","Acetylcholine","Cingulum_Ant","Anterior Cingulate","215","24 32","approx"
"M2 muscarinic","Acetylcholine","Cingulum_Mid","Middle Cingulate","207.5","24 23","approx"
"M2 muscarinic","Acetylcholine","Cingulum_Post","Posterior Cingulate","203","23 31","approx"
"M2 muscarinic","Acetylcholine","ParaHippocampal","Parahippocampal Gyrus","127","36","approx"
"M2 muscarinic","Acetylcholine","Heschl","Heschl's Gyrus","232","41 42","approx"
"M2 muscarinic","Acetylcholine","Temporal_Sup","Superior Temporal Gyrus","179","42 22","approx"
"M2 muscarinic","Acetylcholine","Temporal_Pole_Sup","Temporal Pole, Superior","199","38","exact"
"M2 muscarinic","Acetylcholine","Temporal_Mid","Middle Temporal Gyrus","157","21","exact"
"M2 muscarinic","Acetylcholine","Temporal_Pole_Mid","Temporal Pole, Middle","199","38","exact"
"M2 muscarinic","Acetylcholine","Temporal_Inf","Inferior Temporal Gyrus","152","37B 37L 20","approx"
"M2 muscarinic","Acetylcholine","Postcentral","Postcentral Gyrus","208.8","1 2 3a 3b","exact"
"M2 muscarinic","Acetylcholine","Parietal_Sup","Superior Parietal Lobule","174","5L","approx"
"M2 muscarinic","Acetylcholine","Parietal_Inf","Inferior Parietal Lobule","187","PFm","approx"
"M2 muscarinic","Acetylcholine","SupraMarginal","Supramarginal Gyrus","182","PFt PFm","approx"
"M2 muscarinic","Acetylcholine","Angular","Angular Gyrus","226.5","PGa PGp","exact"
"M2 muscarinic","Acetylcholine","Precuneus","Precuneus","203.5","31 5M","approx"
"M2 muscarinic","Acetylcholine","Paracentral_Lobule","Paracentral Lobule","197","5M","approx"
"M2 muscarinic","Acetylcholine","Calcarine","Calcarine Cortex","462","V1","exact"
"M2 muscarinic","Acetylcholine","Cuneus","Cuneus","271.3","V2d V3A V3d","approx"
"M2 muscarinic","Acetylcholine","Lingual","Lingual Gyrus","294","V2v V3v V4v","approx"
"M2 muscarinic","Acetylcholine","Occipital_Sup","Superior Occipital Gyrus","211","V3A V3d","approx"
"M2 muscarinic","Acetylcholine","Occipital_Mid","Middle Occipital Gyrus","169","37L","approx"
"M2 muscarinic","Acetylcholine","Occipital_Inf","Inferior Occipital Gyrus","267.5","V3v V4v","approx"
"M2 muscarinic","Acetylcholine","Fusiform","Fusiform Gyrus","176","FG1 FG2 37B 37M","approx"
"M3 muscarinic","Acetylcholine","Precentral","Precentral Gyrus","406","4 6","approx"
"M3 muscarinic","Acetylcholine","Frontal_Sup","Superior Frontal Gyrus","637","8 9","approx"
"M3 muscarinic","Acetylcholine","Frontal_Mid","Middle Frontal Gyrus","679.5","8 9 10L 46","approx"
"M3 muscarinic","Acetylcholine","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","432","44","exact"
"M3 muscarinic","Acetylcholine","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","420","45","exact"
"M3 muscarinic","Acetylcholine","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","640","47","approx"
"M3 muscarinic","Acetylcholine","Supp_Motor_Area","Supplementary Motor Area","412","6","approx"
"M3 muscarinic","Acetylcholine","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","779","10M","approx"
"M3 muscarinic","Acetylcholine","Frontal_Med_Orb","Medial Orbitofrontal Cortex","879","11","approx"
"M3 muscarinic","Acetylcholine","Rectus","Gyrus Rectus","879","11","approx"
"M3 muscarinic","Acetylcholine","Cingulum_Ant","Anterior Cingulate","541","24 32","approx"
"M3 muscarinic","Acetylcholine","Cingulum_Mid","Middle Cingulate","593.5","24 23","approx"
"M3 muscarinic","Acetylcholine","Cingulum_Post","Posterior Cingulate","702.5","23 31","approx"
"M3 muscarinic","Acetylcholine","ParaHippocampal","Parahippocampal Gyrus","604","36","approx"
"M3 muscarinic","Acetylcholine","Heschl","Heschl's Gyrus","573.5","41 42","approx"
"M3 muscarinic","Acetylcholine","Temporal_Sup","Superior Temporal Gyrus","611.5","42 22","approx"
"M3 muscarinic","Acetylcholine","Temporal_Pole_Sup","Temporal Pole, Superior","534","38","exact"
"M3 muscarinic","Acetylcholine","Temporal_Mid","Middle Temporal Gyrus","649","21","exact"
"M3 muscarinic","Acetylcholine","Temporal_Pole_Mid","Temporal Pole, Middle","534","38","exact"
"M3 muscarinic","Acetylcholine","Temporal_Inf","Inferior Temporal Gyrus","736.3","37B 37L 20","approx"
"M3 muscarinic","Acetylcholine","Postcentral","Postcentral Gyrus","556.3","1 2 3a 3b","exact"
